ID,LATITUDE,LONGITUDE
150,59.25,-160.75
151,59.75,-160.75
152,60.25,-160.75
153,60.75,-160.75
154,61.25,-160.75
155,61.75,-160.75
156,62.25,-160.75
157,62.75,-160.75
158,63.25,-160.75
159,63.75,-160.75
160,64.25,-160.75
161,64.75,-160.75
162,65.25,-160.75
163,65.75,-160.75
164,66.75,-160.75
165,67.25,-160.75
166,67.75,-160.75
167,68.25,-160.75
168,68.75,-160.75
169,69.25,-160.75
170,69.75,-160.75
171,70.25,-160.75
172,55.75,-160.25
173,59.25,-160.25
174,59.75,-160.25
175,60.25,-160.25
176,60.75,-160.25
177,61.25,-160.25
178,61.75,-160.25
179,62.25,-160.25
180,62.75,-160.25
181,63.25,-160.25
182,63.75,-160.25
183,64.25,-160.25
184,64.75,-160.25
185,65.25,-160.25
186,65.75,-160.25
187,66.25,-160.25
188,66.75,-160.25
189,67.25,-160.25
190,67.75,-160.25
191,68.25,-160.25
192,68.75,-160.25
193,69.25,-160.25
194,69.75,-160.25
195,70.25,-160.25
196,59.25,-159.75
197,59.75,-159.75
198,60.25,-159.75
199,60.75,-159.75
200,61.25,-159.75
201,61.75,-159.75
202,62.25,-159.75
203,62.75,-159.75
204,63.25,-159.75
205,63.75,-159.75
206,64.25,-159.75
207,64.75,-159.75
208,65.25,-159.75
209,65.75,-159.75
210,66.25,-159.75
211,66.75,-159.75
212,67.25,-159.75
213,67.75,-159.75
214,68.25,-159.75
215,68.75,-159.75
216,69.25,-159.75
217,69.75,-159.75
218,70.25,-159.75
219,70.75,-159.75
220,58.75,-159.25
221,59.25,-159.25
222,59.75,-159.25
223,60.25,-159.25
224,60.75,-159.25
225,61.25,-159.25
226,61.75,-159.25
227,62.25,-159.25
228,62.75,-159.25
229,63.25,-159.25
230,63.75,-159.25
231,64.25,-159.25
232,64.75,-159.25
233,65.25,-159.25
234,65.75,-159.25
235,66.25,-159.25
236,66.75,-159.25
237,67.25,-159.25
238,67.75,-159.25
239,68.25,-159.25
240,68.75,-159.25
241,69.25,-159.25
242,69.75,-159.25
243,70.25,-159.25
244,70.75,-159.25
245,56.25,-158.75
246,59.25,-158.75
247,59.75,-158.75
248,60.25,-158.75
249,60.75,-158.75
250,61.25,-158.75
251,61.75,-158.75
252,62.25,-158.75
253,62.75,-158.75
254,63.25,-158.75
255,63.75,-158.75
256,64.25,-158.75
257,64.75,-158.75
258,65.25,-158.75
259,65.75,-158.75
260,66.25,-158.75
261,66.75,-158.75
262,67.25,-158.75
263,67.75,-158.75
264,68.25,-158.75
265,68.75,-158.75
266,69.25,-158.75
267,69.75,-158.75
268,70.25,-158.75
269,70.75,-158.75
270,56.25,-158.25
271,59.25,-158.25
272,59.75,-158.25
273,60.25,-158.25
274,60.75,-158.25
275,61.25,-158.25
276,61.75,-158.25
277,62.25,-158.25
278,62.75,-158.25
279,63.25,-158.25
