ID,LATITUDE,LONGITUDE
420,56.25,-3.25
421,56.75,-3.25
422,57.25,-3.25
423,57.75,-3.25
424,58.75,-3.25
425,29.75,-2.75
426,30.25,-2.75
427,30.75,-2.75
428,31.25,-2.75
429,31.75,-2.75
430,32.25,-2.75
431,32.75,-2.75
432,33.25,-2.75
433,33.75,-2.75
434,34.25,-2.75
435,34.75,-2.75
436,37.25,-2.75
437,37.75,-2.75
438,38.25,-2.75
439,38.75,-2.75
440,39.25,-2.75
441,39.75,-2.75
442,40.25,-2.75
443,40.75,-2.75
444,41.25,-2.75
445,41.75,-2.75
446,42.25,-2.75
447,42.75,-2.75
448,43.25,-2.75
449,47.75,-2.75
450,48.25,-2.75
451,51.25,-2.75
452,51.75,-2.75
453,52.25,-2.75
454,52.75,-2.75
455,53.25,-2.75
456,54.75,-2.75
457,55.25,-2.75
458,55.75,-2.75
459,56.75,-2.75
460,57.25,-2.75
461,57.75,-2.75
462,30.25,-2.25
463,30.75,-2.25
464,31.25,-2.25
465,31.75,-2.25
466,32.25,-2.25
467,32.75,-2.25
468,33.25,-2.25
469,33.75,-2.25
470,34.25,-2.25
471,34.75,-2.25
472,37.25,-2.25
473,37.75,-2.25
474,38.25,-2.25
475,38.75,-2.25
476,39.25,-2.25
477,39.75,-2.25
478,40.25,-2.25
479,40.75,-2.25
480,41.25,-2.25
481,41.75,-2.25
482,42.25,-2.25
483,42.75,-2.25
484,43.25,-2.25
485,47.75,-2.25
486,48.25,-2.25
487,51.25,-2.25
488,51.75,-2.25
489,52.25,-2.25
490,52.75,-2.25
491,53.25,-2.25
492,53.75,-2.25
493,54.25,-2.25
494,54.75,-2.25
495,55.25,-2.25
496,55.75,-2.25
497,57.25,-2.25
498,30.75,-1.75
499,31.25,-1.75
500,31.75,-1.75
501,32.25,-1.75
502,32.75,-1.75
503,33.25,-1.75
504,33.75,-1.75
505,34.25,-1.75
506,34.75,-1.75
507,37.25,-1.75
508,37.75,-1.75
509,38.25,-1.75
510,38.75,-1.75
511,39.25,-1.75
512,40.25,-1.75
513,40.75,-1.75
514,41.25,-1.75
515,41.75,-1.75
516,42.25,-1.75
517,42.75,-1.75
518,43.25,-1.75
519,47.75,-1.75
520,48.25,-1.75
521,48.75,-1.75
522,51.25,-1.75
523,51.75,-1.75
524,52.25,-1.75
525,52.75,-1.75
526,53.25,-1.75
527,53.75,-1.75
528,54.25,-1.75
529,54.75,-1.75
530,55.25,-1.75
531,30.75,-1.25
532,31.25,-1.25
533,31.75,-1.25
534,32.25,-1.25
535,32.75,-1.25
536,33.25,-1.25
537,33.75,-1.25
538,34.25,-1.25
539,34.75,-1.25
540,35.25,-1.25
541,37.75,-1.25
542,38.25,-1.25
543,38.75,-1.25
544,39.25,-1.25
545,39.75,-1.25
546,40.25,-1.25
547,40.75,-1.25
548,41.25,-1.25
549,41.75,-1.25
550,42.25,-1.25
551,42.75,-1.25
552,43.25,-1.25
553,46.75,-1.25
554,47.25,-1.25
555,47.75,-1.25
556,48.25,-1.25
557,48.75,-1.25
558,51.25,-1.25
559,51.75,-1.25
560,52.25,-1.25
561,52.75,-1.25
562,53.25,-1.25
563,53.75,-1.25
564,54.25,-1.25
565,54.75,-1.25
566,30.75,-0.75
567,31.25,-0.75
568,31.75,-0.75
569,32.25,-0.75
570,32.75,-0.75
571,33.25,-0.75
572,33.75,-0.75
573,34.25,-0.75
574,34.75,-0.75
575,35.25,-0.75
576,35.75,-0.75
577,37.75,-0.75
578,38.25,-0.75
579,38.75,-0.75
580,39.25,-0.75
581,39.75,-0.75
582,40.25,-0.75
583,40.75,-0.75
584,41.25,-0.75
585,41.75,-0.75
586,42.25,-0.75
587,42.75,-0.75
588,43.25,-0.75
589,43.75,-0.75
590,44.25,-0.75
591,44.75,-0.75
592,45.25,-0.75
593,46.75,-0.75
594,47.25,-0.75
595,47.75,-0.75
596,48.25,-0.75
597,48.75,-0.75
598,49.25,-0.75
599,51.25,-0.75
600,51.75,-0.75
601,52.25,-0.75
602,52.75,-0.75
603,53.25,-0.75
604,53.75,-0.75
605,54.25,-0.75
606,30.75,-0.25
607,31.25,-0.25
608,31.75,-0.25
609,32.25,-0.25
610,32.75,-0.25
611,33.25,-0.25
612,33.75,-0.25
613,34.25,-0.25
614,34.75,-0.25
615,35.25,-0.25
616,35.75,-0.25
617,38.75,-0.25
618,39.25,-0.25
619,39.75,-0.25
620,40.25,-0.25
621,40.75,-0.25
622,41.25,-0.25
623,41.75,-0.25
624,42.25,-0.25
625,42.75,-0.25
626,43.25,-0.25
627,43.75,-0.25
628,44.25,-0.25
629,44.75,-0.25
630,45.75,-0.25
631,46.25,-0.25
632,46.75,-0.25
633,47.25,-0.25
634,47.75,-0.25
635,48.25,-0.25
636,48.75,-0.25
637,49.25,-0.25
638,51.25,-0.25
639,51.75,-0.25
640,52.25,-0.25
641,52.75,-0.25
642,53.25,-0.25
643,53.75,-0.25
644,30.75,0.25
645,31.25,0.25
646,31.75,0.25
647,32.25,0.25
648,32.75,0.25
649,33.25,0.25
650,33.75,0.25
651,34.25,0.25
652,34.75,0.25
653,35.25,0.25
654,35.75,0.25
655,40.25,0.25
656,40.75,0.25
657,41.25,0.25
658,41.75,0.25
659,42.25,0.25
660,42.75,0.25
661,43.25,0.25
662,43.75,0.25
663,44.25,0.25
664,44.75,0.25
665,45.25,0.25
666,45.75,0.25
667,46.25,0.25
668,46.75,0.25
669,47.25,0.25
670,47.75,0.25
671,48.25,0.25
672,48.75,0.25
673,49.25,0.25
674,51.25,0.25
675,51.75,0.25
676,52.25,0.25
677,52.75,0.25
678,53.25,0.25
679,30.75,0.75
680,31.25,0.75
681,31.75,0.75
682,32.25,0.75
683,32.75,0.75
684,33.25,0.75
685,33.75,0.75
686,34.25,0.75
687,34.75,0.75
688,35.25,0.75
689,35.75,0.75
690,36.25,0.75
691,40.75,0.75
692,41.25,0.75
693,41.75,0.75
694,42.25,0.75
695,42.75,0.75
696,43.25,0.75
697,43.75,0.75
698,44.25,0.75
699,44.75,0.75
700,45.25,0.75
701,45.75,0.75
702,46.25,0.75
703,46.75,0.75
704,47.25,0.75
705,47.75,0.75
706,48.25,0.75
707,48.75,0.75
708,49.25,0.75
709,49.75,0.75
710,51.25,0.75
711,51.75,0.75
712,52.25,0.75
713,52.75,0.75
714,30.75,1.25
715,31.25,1.25
716,31.75,1.25
717,32.25,1.25
718,32.75,1.25
719,33.25,1.25
720,33.75,1.25
721,34.25,1.25
722,34.75,1.25
723,35.25,1.25
724,35.75,1.25
725,36.25,1.25
726,41.25,1.25
727,41.75,1.25
728,42.25,1.25
729,42.75,1.25
730,43.25,1.25
731,43.75,1.25
732,44.25,1.25
733,44.75,1.25
734,45.25,1.25
735,45.75,1.25
736,46.25,1.25
737,46.75,1.25
738,47.25,1.25
739,47.75,1.25
740,48.25,1.25
741,48.75,1.25
742,49.25,1.25
743,49.75,1.25
744,51.25,1.25
745,52.25,1.25
746,52.75,1.25
747,30.75,1.75
748,31.25,1.75
749,31.75,1.75
750,32.25,1.75
751,32.75,1.75
752,33.25,1.75
753,33.75,1.75
754,34.25,1.75
755,34.75,1.75
756,35.25,1.75
757,35.75,1.75
758,36.25,1.75
759,41.75,1.75
760,42.25,1.75
761,42.75,1.75
762,43.25,1.75
763,43.75,1.75
764,44.25,1.75
765,44.75,1.75
766,45.25,1.75
767,45.75,1.75
768,46.25,1.75
769,46.75,1.75
770,47.25,1.75
771,47.75,1.75
772,48.25,1.75
773,48.75,1.75
774,49.25,1.75
775,49.75,1.75
776,50.25,1.75
777,30.75,2.25
778,31.25,2.25
779,31.75,2.25
780,32.25,2.25
781,32.75,2.25
782,33.25,2.25
783,33.75,2.25
784,34.25,2.25
785,34.75,2.25
786,35.25,2.25
787,35.75,2.25
788,36.25,2.25
789,41.75,2.25
790,42.25,2.25
791,42.75,2.25
792,43.25,2.25
793,43.75,2.25
794,44.25,2.25
795,44.75,2.25
796,45.25,2.25
797,45.75,2.25
798,46.25,2.25
799,46.75,2.25
800,47.25,2.25
801,47.75,2.25
802,48.25,2.25
803,48.75,2.25
804,49.25,2.25
805,49.75,2.25
806,50.25,2.25
807,50.75,2.25
808,31.25,2.75
809,31.75,2.75
810,32.25,2.75
811,32.75,2.75
812,33.25,2.75
813,33.75,2.75
814,34.25,2.75
815,34.75,2.75
816,35.25,2.75
817,35.75,2.75
818,36.25,2.75
819,36.75,2.75
820,39.75,2.75
821,41.75,2.75
822,42.25,2.75
823,42.75,2.75
824,43.25,2.75
825,43.75,2.75
826,44.25,2.75
827,44.75,2.75
828,45.25,2.75
829,45.75,2.75
830,46.25,2.75
831,46.75,2.75
832,47.25,2.75
833,47.75,2.75
834,48.25,2.75
835,48.75,2.75
836,49.25,2.75
837,49.75,2.75
838,50.25,2.75
839,50.75,2.75
840,31.25,3.25
841,31.75,3.25
842,32.25,3.25
843,32.75,3.25
844,33.25,3.25
845,33.75,3.25
846,34.25,3.25
847,34.75,3.25
848,35.25,3.25
849,35.75,3.25
850,36.25,3.25
851,36.75,3.25
852,39.75,3.25
853,43.25,3.25
854,43.75,3.25
855,44.25,3.25
856,44.75,3.25
857,45.25,3.25
858,45.75,3.25
859,46.25,3.25
860,46.75,3.25
861,47.25,3.25
862,47.75,3.25
863,48.25,3.25
864,48.75,3.25
865,49.25,3.25
866,49.75,3.25
867,50.25,3.25
868,50.75,3.25
869,51.25,3.25
870,31.25,3.75
871,31.75,3.75
872,32.25,3.75
873,32.75,3.75
874,33.25,3.75
875,33.75,3.75
876,34.25,3.75
877,34.75,3.75
878,35.25,3.75
879,35.75,3.75
880,36.25,3.75
881,36.75,3.75
882,43.75,3.75
883,44.25,3.75
884,44.75,3.75
885,45.25,3.75
886,45.75,3.75
887,46.25,3.75
888,46.75,3.75
889,47.25,3.75
890,47.75,3.75
891,48.25,3.75
892,48.75,3.75
893,49.25,3.75
894,49.75,3.75
895,50.25,3.75
896,50.75,3.75
897,51.25,3.75
898,31.75,4.25
899,32.25,4.25
900,32.75,4.25
901,33.25,4.25
902,33.75,4.25
903,34.25,4.25
904,34.75,4.25
905,35.25,4.25
906,35.75,4.25
907,36.25,4.25
908,36.75,4.25
909,43.75,4.25
910,44.25,4.25
911,44.75,4.25
912,45.25,4.25
913,45.75,4.25
914,46.25,4.25
915,46.75,4.25
916,47.25,4.25
917,47.75,4.25
918,48.25,4.25
919,48.75,4.25
920,49.25,4.25
921,49.75,4.25
922,50.25,4.25
923,50.75,4.25
924,51.25,4.25
925,51.75,4.25
926,32.25,4.75
927,32.75,4.75
928,33.25,4.75
929,33.75,4.75
930,34.25,4.75
931,34.75,4.75
932,35.25,4.75
933,35.75,4.75
934,36.25,4.75
935,36.75,4.75
936,43.75,4.75
937,44.25,4.75
938,44.75,4.75
939,45.25,4.75
940,45.75,4.75
941,46.25,4.75
942,46.75,4.75
943,47.25,4.75
944,47.75,4.75
945,48.25,4.75
946,48.75,4.75
947,49.25,4.75
948,49.75,4.75
949,50.25,4.75
950,50.75,4.75
951,51.25,4.75
952,51.75,4.75
953,52.25,4.75
954,32.25,5.25
955,32.75,5.25
956,33.25,5.25
957,33.75,5.25
958,34.25,5.25
959,34.75,5.25
960,35.25,5.25
961,35.75,5.25
962,36.25,5.25
963,36.75,5.25
964,43.75,5.25
965,44.25,5.25
966,44.75,5.25
967,45.25,5.25
968,45.75,5.25
969,46.25,5.25
970,46.75,5.25
971,47.25,5.25
972,47.75,5.25
973,48.25,5.25
974,48.75,5.25
975,49.25,5.25
976,49.75,5.25
977,50.25,5.25
978,50.75,5.25
979,51.25,5.25
980,51.75,5.25
